DATE,PIEAMP01CAQ661N
1960-01-01,14.7594914199342
1960-04-01,14.7950564595003
1960-07-01,14.8306214990664
1960-10-01,14.7950564595003
1961-01-01,14.7950564595003
1961-04-01,14.8306214990664
1961-07-01,14.8306214990664
1961-10-01,14.8661865386325
1962-01-01,14.9373166177647
1962-04-01,15.008446696897
1962-07-01,15.1507068551614
1962-10-01,15.1507068551614
1963-01-01,15.1507068551614
1963-04-01,15.1862718947275
1963-07-01,15.2574019738597
1963-10-01,15.2929670134258
1964-01-01,15.364097092558
1964-04-01,15.364097092558
1964-07-01,15.364097092558
1964-10-01,15.364097092558
1965-01-01,15.4352271716902
1965-04-01,15.5419222903885
1965-07-01,15.684182448653
1965-10-01,15.684182448653
1966-01-01,15.8975726860496
1966-04-01,15.9687027651818
1966-07-01,16.039832844314
1966-10-01,16.0753978838801
1967-01-01,16.2176580421446
1967-04-01,16.3954832399751
1967-07-01,16.4310482795412
1967-10-01,16.4310482795412
1968-01-01,16.5733084378056
1968-04-01,16.5733084378056
1968-07-01,16.680003556504
1968-10-01,16.8222637147684
1969-01-01,17.1067840312972
1969-04-01,17.2134791499956
1969-07-01,17.2134791499956
1969-10-01,17.3913043478261
1970-01-01,17.8180848226194
1970-04-01,17.8536498621855
1970-07-01,17.5335645060905
1970-10-01,17.6046945852227
1971-01-01,17.8892149017516
1971-04-01,17.9247799413177
1971-07-01,18.1381701787143
1971-10-01,18.1737352182804
1972-01-01,18.5649506535076
1972-04-01,18.7783408909042
1972-07-01,18.9206010491687
1972-10-01,19.1339912865653
1973-01-01,19.8452920778874
1973-04-01,20.5565928692096
1973-07-01,21.4457188583622
1973-10-01,21.9436294122877
1974-01-01,23.2595358762337
1974-04-01,24.4331821819152
1974-07-01,25.5356984084645
1974-10-01,26.4603894371832
1975-01-01,27.0649951098071
1975-04-01,27.5273406241664
1975-07-01,27.9896861385258
1975-10-01,28.4164666133191
1976-01-01,28.700986929848
1976-04-01,28.9855072463768
1976-07-01,29.3055926024718
1976-10-01,29.6256779585667
1977-01-01,30.5148039477194
1977-04-01,31.3327998577398
1977-07-01,31.7595803325331
1977-10-01,32.1507957677603
1978-01-01,33.0043567173468
1978-04-01,33.9646127856317
1978-07-01,34.5692184582555
1978-10-01,35.8139948430693
1979-01-01,37.5566817818085
1979-04-01,38.6947630479239
1979-07-01,39.8328443140393
1979-10-01,41.2910109362497
1980-01-01,43.2826531519516
1980-04-01,43.744998666311
1980-07-01,44.9542100115586
1980-10-01,46.412376633769
1981-01-01,47.5504578998844
1981-04-01,48.7241042055659
1981-07-01,49.8266204321152
1981-10-01,50.431226104739
1982-01-01,51.42704721259
1982-04-01,52.3873032808749
1982-07-01,52.7785187161021
1982-10-01,53.0630390326309
1983-01-01,53.2052991908953
1983-04-01,54.1299902196141
1983-07-01,54.6634658131057
1983-10-01,54.9479861296346
1984-01-01,55.8726771583534
1984-04-01,56.6551080288077
1984-07-01,57.0463234640348
1984-10-01,57.2241486618654
1985-01-01,57.8998844136214
1985-04-01,58.2199697697164
1985-07-01,58.2199697697164
1985-10-01,58.6823152840758
1986-01-01,58.7890104027741
1986-04-01,58.3622299279808
1986-07-01,58.7178803236419
1986-10-01,59.1802258380012
1987-01-01,59.2869209566996
1987-04-01,60.0337867875878
1987-07-01,60.8162176580421
1987-10-01,61.456388370232
1988-01-01,62.1321241219881
1988-04-01,62.7011647550458
1988-07-01,63.4124655463679
1988-10-01,63.768115942029
1989-01-01,64.4082866542189
1989-04-01,64.4794167333511
1989-07-01,64.3371565750867
1989-10-01,63.9459411398595
1990-01-01,64.12376633769
1990-04-01,64.3015915355206
1990-07-01,64.3727216146528
1990-10-01,65.1551524851071
1991-01-01,64.9061972081444
1991-04-01,63.9103761002934
1991-07-01,63.3413354672357
1991-10-01,63.1279452298391
1992-01-01,63.1990753089713
1992-04-01,63.7325509024629
1992-07-01,64.3015915355206
1992-10-01,65.2262825642394
1993-01-01,66.115408553392
1993-04-01,66.0087134346937
1993-07-01,66.3287987907886
1993-10-01,67.2890548590735
1994-01-01,68.462701164755
1994-04-01,69.778607628701
1994-07-01,71.130079132213
1994-10-01,72.4815506357251
1995-01-01,75.1844936427492
1995-04-01,75.3978838801458
1995-07-01,76.1091846714679
1995-10-01,76.1091846714679
1996-01-01,76.0024895527696
1996-04-01,75.8602293945052
1996-07-01,76.144749711034
1996-10-01,76.1091846714679
1997-01-01,76.2158797901663
1997-04-01,76.7493553836579
1997-07-01,76.5715301858273
1997-10-01,76.7493553836579
1998-01-01,76.4292700275629
1998-04-01,76.5359651462612
1998-07-01,77.0694407397528
1998-10-01,77.3539610562817
1999-01-01,76.9271805814884
1999-04-01,77.46065617498
1999-07-01,78.9543878367565
1999-10-01,79.4878634302481
2000-01-01,80.5192495776652
2000-04-01,81.4083755668178
2000-07-01,81.6217658042145
2000-10-01,82.795412109896
2001-01-01,82.6531519516316
2001-04-01,83.2933226638215
2001-07-01,82.2619365164044
2001-10-01,81.1594202898551
2002-01-01,81.7640259624789
2002-04-01,82.0485462790077
2002-07-01,82.5820218724993
2002-10-01,83.151062505557
2003-01-01,83.7201031386148
2003-04-01,80.8393349337601
2003-07-01,81.0527251711568
2003-10-01,79.9857739841736
2004-01-01,82.0485462790077
2004-04-01,85.0715746421268
2004-07-01,85.2849648795234
2004-10-01,83.5778429803503
2005-01-01,84.7159242464657
2005-04-01,85.5339201564862
2005-07-01,85.5694851960523
2005-10-01,85.7117453543167
2006-01-01,85.9962656708456
2006-04-01,87.5966924513204
2006-07-01,88.2012981239442
