DATE,PIEAMP01AUQ661N
1968-07-01,9.99759673155492
1968-10-01,9.99759673155492
1969-01-01,9.99759673155492
1969-04-01,10.1898582071617
1969-07-01,10.2859889449652
1969-10-01,10.3821196827686
1970-01-01,10.5743811583754
1970-04-01,10.6705118961788
1970-07-01,10.7666426339822
1970-10-01,10.8627733717856
1971-01-01,10.958904109589
1971-04-01,11.1511655851959
1971-07-01,11.2472963229993
1971-10-01,11.3434270608027
1972-01-01,11.5356885364095
1972-04-01,11.6318192742129
1972-07-01,11.8240807498198
1972-10-01,11.9202114876232
1973-01-01,12.2086037010334
1973-04-01,12.5931266522471
1973-07-01,12.9776496034607
1973-10-01,13.2660418168709
1974-01-01,13.746695505888
1974-04-01,14.3234799327085
1974-07-01,15.1886565729392
1974-10-01,15.6693102619563
1975-01-01,16.2460946887767
1975-04-01,16.534486902187
1975-07-01,17.1112713290075
1975-10-01,17.6880557558279
1976-01-01,18.0725787070416
1976-04-01,18.7454938716655
1976-07-01,19.0338860850757
1976-10-01,19.5145397740928
1977-01-01,20.1874549387167
1977-04-01,20.5719778899303
1977-07-01,20.956500841144
1977-10-01,21.3410237923576
1978-01-01,21.7255467435713
1978-04-01,22.1100696947849
1978-07-01,22.6868541216054
1978-10-01,23.2636385484259
1979-01-01,24.22494592646
1979-04-01,25.3785147801009
1979-07-01,26.3398221581351
1979-10-01,27.1088680605624
1980-01-01,28.3585676520067
1980-04-01,28.9353520788272
1980-07-01,29.8005287190579
1980-10-01,30.4734438836818
1981-01-01,31.0502283105023
1981-04-01,31.6270127373228
1981-07-01,32.2037971641432
1981-10-01,32.5883201153569
1982-01-01,33.4534967555876
1982-04-01,34.3186733958183
1982-07-01,35.2799807738524
1982-10-01,35.9528959384763
1983-01-01,36.4335496274934
1983-04-01,37.4909877433309
1983-07-01,37.8755106945446
1983-10-01,38.2600336457582
1984-01-01,38.7406873347753
1984-04-01,39.3174717615958
1984-07-01,39.8942561884163
1984-10-01,40.2787791396299
1985-01-01,40.759432828647
1985-04-01,42.0091324200913
1985-07-01,42.7781783225186
1985-10-01,43.1627012737323
1986-01-01,43.8356164383562
1986-04-01,43.6433549627493
1986-07-01,44.7007930785869
1986-10-01,45.8543619322278
1987-01-01,46.6234078346551
1987-04-01,47.296322999279
1987-07-01,48.1614996395097
1987-10-01,49.0266762797405
1988-01-01,50.084114395578
1988-04-01,50.9492910358087
1988-07-01,51.718336938236
1988-10-01,52.3912521028599
1989-01-01,53.2564287430906
1989-04-01,54.506128334535
1989-07-01,55.2751742369623
1989-10-01,55.9480894015862
1990-01-01,56.8132660418169
1990-04-01,57.4861812064408
1990-07-01,58.1590963710646
1990-10-01,59.7933189137227
1991-01-01,58.8320115356886
1991-04-01,58.6397500600817
1991-07-01,58.8320115356886
1991-10-01,59.0242730112954
1992-01-01,59.1204037490988
1992-04-01,59.5049267003124
1992-07-01,60.1778418649363
1992-10-01,60.3701033405432
1993-01-01,60.56236481615
1993-04-01,60.7546262917568
1993-07-01,61.1391492429704
1993-10-01,61.2352799807739
1994-01-01,60.8507570295602
1994-04-01,61.3314107185773
1994-07-01,61.5236721941841
1994-10-01,62.0043258832012
1995-01-01,62.9656332612353
1995-04-01,63.7346791636626
1995-07-01,64.0230713770728
1995-10-01,64.0230713770728
1996-01-01,64.311463590483
1996-04-01,64.1192021148762
1996-07-01,64.0230713770728
1996-10-01,64.311463590483
1997-01-01,64.6959865416967
1997-04-01,64.6959865416967
1997-07-01,65.0805094929104
1997-10-01,65.5611631819274
1998-01-01,65.2727709685172
1998-04-01,65.5611631819274
1998-07-01,65.6572939197308
1998-10-01,65.2727709685172
1999-01-01,64.7921172795001
1999-04-01,64.984378755107
1999-07-01,66.3302090843547
1999-10-01,67.2915164623889
2000-01-01,68.4450853160298
2000-04-01,69.7909156452776
2000-07-01,71.1367459745254
2000-10-01,72.8670992549868
2001-01-01,72.0019226147561
2001-04-01,73.7322758952175
2001-07-01,72.8670992549868
2001-10-01,72.3864455659697
2002-01-01,72.2903148281663
2002-04-01,72.8670992549868
2002-07-01,72.7709685171834
2002-10-01,73.5400144196107
2003-01-01,74.5013217976448
2003-04-01,73.0593607305936
2003-07-01,72.67483777938
2003-10-01,72.7709685171834
2004-01-01,73.6361451574141
2004-04-01,75.0781062244653
2004-07-01,77.096851718337
2004-10-01,78.731074260995
2005-01-01,78.0581590963711
2005-04-01,80.2691660658496
2005-07-01,81.9033886085076
2005-10-01,82.5763037731315
2006-01-01,84.2105263157895
2006-04-01,88.1518865657294
2006-07-01,88.4402787791396
2006-10-01,87.5751021389089
2007-01-01,87.2867099254987
2007-04-01,89.4977168949772
2007-07-01,89.1131939437635
2007-10-01,90.5551550108147
2008-01-01,93.3429464071137
2008-04-01,97.2843066570536
2008-07-01,98.8223984619082
2008-10-01,96.6113914924297
2009-01-01,92.3816390290796
2009-04-01,91.0358086998318
2009-07-01,91.7087238644557
2009-10-01,89.9783705839942
2010-01-01,92.1893775534727
2010-04-01,93.3429464071137
2010-07-01,93.0545541937034
2010-10-01,93.4390771449171
2011-01-01,95.8423455900024
2011-04-01,96.6113914924297
2011-07-01,96.226868541216
2011-10-01,95.9384763278058
2012-01-01,96.1307378034126
2012-04-01,96.226868541216
2012-07-01,94.7849074741649
2012-10-01,95.6500841143956
2013-01-01,95.8423455900024
2013-04-01,95.9384763278058
2013-07-01,97.4765681326604
2013-10-01,97.6688296082672
2014-01-01,99.5914443643355
2014-04-01,99.4953136265321
2014-07-01,99.7837058399424
2014-10-01,100.072098053353
