"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.955677327,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.93167915,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.668628011,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.525195607,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.328321429,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.72512256,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370716167,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.636914747,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.58623185,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.262654605,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.986116769,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.478741091,
"CHE","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.182531857,
"CHE","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.270720823,
"CHE","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.653977253,
"CHE","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.067955606,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.116710493,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.978363331,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.161779541,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.174014277,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.169915172,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370392471,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.541743876,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.389792285,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.731200029,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.028700796,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.166023226,
"NZL","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.055087732,
"NZL","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.096382384,
"NZL","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.858552293,
"NZL","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.869199897,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.731806045,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.1286683,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.243978654,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.112126015,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.413103594,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.393214203,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.710558219,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.14616979,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.192991449,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.037063284,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.99877363,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.777037,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.76684,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.780146,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.852729,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.282061,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.526933,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.157094,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.561289,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.56152,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.259161,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.254837,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.181867,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.279383,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.346776,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.54845,
